iter	Passed	Remaining
753	101839	100759
754	101974	100623
755	102109	100489
756	102247	100356
757	102380	100219
758	102518	100087
759	102656	99954
760	102792	99821
761	102922	99681
762	103057	99546
763	103194	99412
764	103332	99279
765	103465	99142
766	103601	99009
767	103734	98871
768	103873	98740
769	104005	98603
770	104140	98467
771	104271	98328
772	104407	98194
773	104543	98059
774	104679	97925
775	104826	97801
776	104967	97672
777	105121	97555
778	105258	97421
779	105392	97285
780	105527	97149
781	105660	97013
782	105800	96882
783	105937	96748
784	106075	96616
785	106210	96481
786	106342	96343
787	106489	96219
788	106617	96077
789	106752	95941
790	106889	95808
791	107022	95671
792	107153	95532
793	107289	95398
794	107422	95261
795	107559	95128
796	107696	94994
797	107830	94858
798	107967	94724
799	108102	94589
800	108242	94458
801	108373	94319
802	108510	94186
803	108641	94047
804	108777	93913
805	108908	93774
806	109045	93641
807	109187	93512
808	109319	93373
809	109456	93240
810	109597	93110
811	109753	92992
812	109888	92857
813	110018	92718
814	110157	92586
815	110293	92452
816	110430	92318
817	110561	92179
818	110702	92049
819	110836	91913
820	110977	91783
821	111113	91648
822	111250	91514
823	111388	91382
824	111523	91246
825	111657	91110
826	111792	90975
827	111929	90841
828	112062	90704
829	112195	90567
830	112334	90435
831	112467	90298
832	112596	90158
833	112733	90024
834	112869	89889
835	113006	89756
836	113136	89616
837	113273	89483
838	113407	89346
839	113537	89207
840	113670	89071
841	113801	88932
842	113935	88796
843	114067	88659
844	114201	88522
845	114334	88386
846	114470	88251
847	114606	88117
848	114743	87983
849	114899	87864
850	115037	87731
851	115176	87598
852	115311	87463
853	115447	87329
854	115583	87194
855	115717	87058
856	115848	86919
857	115988	86788
858	116144	86668
859	116279	86533
860	116417	86400
861	116550	86263
862	116684	86127
863	116823	85995
864	116956	85858
865	117088	85720
866	117232	85591
867	117373	85460
868	117508	85325
869	117646	85192
870	117783	85058
871	117917	84922
872	118052	84787
873	118185	84650
874	118320	84514
875	118456	84380
876	118591	84244
877	118727	84109
878	118864	83975
879	118997	83838
880	119129	83701
881	119266	83567
882	119399	83430
883	119530	83292
884	119663	83156
885	119796	83019
886	119945	82893
887	120097	82769
888	120236	82637
889	120370	82500
890	120503	82364
891	120636	82227
892	120773	82093
893	120907	81957
894	121037	81818
895	121174	81684
896	121311	81550
897	121443	81412
898	121575	81275
899	121709	81139
900	121847	81006
901	121978	80868
902	122110	80730
903	122246	80596
904	122376	80457
905	122509	80321
906	122645	80186
907	122776	80048
908	122909	79911
909	123039	79773
910	123173	79637
911	123307	79500
912	123439	79363
913	123575	79228
914	123707	79091
915	123847	78959
916	123986	78826
917	124122	78691
918	124251	78552
919	124384	78416
920	124515	78278
921	124647	78141
922	124779	78004
923	124910	77866
924	125043	77729
925	125198	77606
926	125334	77472
927	125465	77334
928	125596	77196
929	125726	77058
930	125861	76922
931	125996	76787
932	126130	76651
933	126260	76513
934	126392	76376
935	126531	76243
936	126661	76105
937	126795	75969
938	126938	75838
939	127081	75708
